,date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
111,2020-03-18,59.94,61.67,62.5,59.28,300233624,239.77,246.67,250.0,237.12,75058406,-1.55,-2.448,"Mar 18, 20",0.099242
112,2020-03-19,61.85,61.2,63.21,60.65,271857020,247.39,244.78,252.84,242.61,67964255,-0.47000000000000003,-0.7662,"Mar 19, 20",0.09082000000000001
113,2020-03-20,61.8,57.31,62.96,57.0,401693384,247.18,229.24,251.83,228.0,100423346,-3.88,-6.3486,"Mar 20, 20",0.021568999999999998
114,2020-03-23,57.02,56.09,57.12,53.15,336752832,228.08,224.37,228.5,212.61,84188208,-1.22,-2.1244,"Mar 23, 20",-0.000134
115,2020-03-24,59.09,61.72,61.92,58.58,287531092,236.36,246.88,247.69,234.3,71882773,5.63,10.0325,"Mar 24, 20",0.10017799999999999
116,2020-03-25,62.69,61.38,64.56,61.08,303602040,250.75,245.52,258.25,244.3,75900510,-0.34,-0.5509000000000001,"Mar 25, 20",0.094118
117,2020-03-26,61.63,64.61,64.67,61.59,252560676,246.52,258.44,258.68,246.36,63140169,3.23,5.2623,"Mar 26, 20",0.151693
118,2020-03-27,63.19,61.94,63.97,61.76,204216612,252.75,247.74,255.87,247.05,51054153,-2.67,-4.1402,"Mar 27, 20",0.10401099999999999
119,2020-03-30,62.69,63.7,63.88,62.35,167976440,250.74,254.81,255.52,249.4,41994110,1.77,2.8538,"Mar 30, 20",0.135517
120,2020-03-31,63.9,63.57,65.62,63.0,197002004,255.6,254.29,262.49,252.0,49250501,-0.13,-0.2041,"Mar 31, 20",0.1332
121,2020-04-01,61.63,60.23,62.18,59.78,176218552,246.5,240.91,248.72,239.13,44054638,-3.34,-5.2617,"Apr 1, 20",0.073574
122,2020-04-02,60.09,61.23,61.29,59.23,165933972,240.34,244.93,245.15,236.9,41483493,1.01,1.6687,"Apr 2, 20",0.091488
123,2020-04-03,60.7,60.35,61.43,59.74,129880068,242.8,241.41,245.7,238.97,32470017,-0.88,-1.4371,"Apr 3, 20",0.075802
124,2020-04-06,62.73,65.62,65.78,62.35,201820284,250.9,262.47,263.11,249.38,50455071,5.27,8.723700000000001,"Apr 6, 20",0.169652
125,2020-04-07,67.7,64.86,67.93,64.75,202887324,270.8,259.43,271.7,259.0,50721831,-0.76,-1.1582,"Apr 7, 20",0.156105
126,2020-04-08,65.69,66.52,66.84,65.31,168895284,262.74,266.07,267.37,261.23,42223821,1.6600000000000001,2.5595,"Apr 8, 20",0.185695
127,2020-04-09,67.18,67.0,67.52,66.18,162116492,268.7,267.99,270.07,264.7,40529123,0.48,0.7216,"Apr 9, 20",0.19425099999999998
128,2020-04-13,67.08,68.31,68.43,66.46,131022924,268.31,273.25,273.7,265.83,32755731,1.32,1.9628,"Apr 13, 20",0.217692
129,2020-04-14,70.0,71.76,72.06,69.51,194994688,280.0,287.05,288.25,278.05,48748672,3.45,5.0503,"Apr 14, 20",0.27918899999999996
130,2020-04-15,70.6,71.11,71.58,70.16,131154564,282.4,284.43,286.33,280.63,32788641,-0.65,-0.9127000000000001,"Apr 15, 20",0.267513
131,2020-04-16,71.85,71.67,72.05,70.59,157125160,287.38,286.69,288.2,282.35,39281290,0.5700000000000001,0.7946000000000001,"Apr 16, 20",0.27758499999999997
132,2020-04-17,71.17,70.7,71.74,69.22,215249912,284.69,282.8,286.95,276.86,53812478,-0.97,-1.3569,"Apr 17, 20",0.26025000000000004
133,2020-04-20,69.49,69.23,70.42,69.21,130015000,277.95,276.93,281.68,276.85,32503750,-1.47,-2.0757,"Apr 20, 20",0.234091
134,2020-04-21,69.07,67.09,69.31,66.36,180991572,276.28,268.37,277.25,265.43,45247893,-2.14,-3.091,"Apr 21, 20",0.19594499999999998
135,2020-04-22,68.4,69.03,69.48,68.05,117057368,273.61,276.1,277.9,272.2,29264342,1.9300000000000002,2.8804,"Apr 22, 20",0.23039199999999999
136,2020-04-23,68.97,68.76,70.44,68.72,124814328,275.87,275.03,281.75,274.87,31203582,-0.27,-0.3875,"Apr 23, 20",0.225624
137,2020-04-24,69.3,70.74,70.75,69.25,126508732,277.2,282.97,283.01,277.0,31627183,1.99,2.887,"Apr 24, 20",0.261007
138,2020-04-27,70.45,70.79,71.14,69.99,117087572,281.8,283.17,284.54,279.95,29271893,0.05,0.0707,"Apr 27, 20",0.26189799999999996
139,2020-04-28,71.27,69.65,71.46,69.55,112004748,285.08,278.58,285.83,278.2,28001187,-1.15,-1.6209,"Apr 28, 20",0.241444
140,2020-04-29,71.18,71.93,72.42,70.97,137280816,284.73,287.73,289.67,283.89,34320204,2.29,3.2845,"Apr 29, 20",0.282219
141,2020-04-30,72.49,73.45,73.63,72.09,183063872,289.96,293.8,294.53,288.35,45765968,1.52,2.1096,"Apr 30, 20",0.30926899999999996
142,2020-05-01,71.56,72.27,74.75,71.46,240616700,286.25,289.07,299.0,285.85,60154175,-1.18,-1.6099,"May 1, 20",0.288191
143,2020-05-04,72.29,73.29,73.42,71.58,133567944,289.17,293.16,293.69,286.32,33391986,1.02,1.4149,"May 4, 20",0.306417
144,2020-05-05,73.77,74.39,75.25,73.62,147751180,295.06,297.56,301.0,294.46,36937795,1.1,1.5009000000000001,"May 5, 20",0.326025
145,2020-05-06,75.12,75.16,75.81,74.72,142333752,300.46,300.63,303.24,298.87,35583438,0.77,1.0317,"May 6, 20",0.339706
146,2020-05-07,75.81,75.94,76.29,75.49,115215056,303.22,303.74,305.17,301.97,28803764,0.78,1.0345,"May 7, 20",0.35356499999999996
147,2020-05-08,76.41,77.53,77.59,76.07,134047940,305.64,310.13,310.35,304.29,33511985,1.6,2.1038,"May 8, 20",0.38204099999999996
148,2020-05-11,77.03,78.75,79.26,76.81,145946244,308.1,315.01,317.05,307.24,36486561,1.22,1.5735000000000001,"May 11, 20",0.403788
149,2020-05-12,79.46,77.85,79.92,77.73,162301052,317.83,311.41,319.69,310.91,40575263,-0.9,-1.1428,"May 12, 20",0.387745
150,2020-05-13,78.04,76.91,78.99,75.8,200622556,312.15,307.65,315.95,303.21,50155639,-0.9400000000000001,-1.2074,"May 13, 20",0.37098899999999996
151,2020-05-14,76.13,77.39,77.45,75.38,158929076,304.51,309.54,309.79,301.53,39732269,0.47000000000000003,0.6143000000000001,"May 14, 20",0.37941199999999997
152,2020-05-15,75.09,76.93,76.98,75.05,166348376,300.35,307.71,307.9,300.21,41587094,-0.46,-0.5912000000000001,"May 15, 20",0.371257
153,2020-05-18,78.29,78.74,79.13,77.58,135372500,313.17,314.96,316.5,310.32,33843125,1.81,2.3561,"May 18, 20",0.403565
154,2020-05-19,78.76,78.29,79.63,78.25,101729540,315.03,313.14,318.52,313.01,25432385,-0.45,-0.5779000000000001,"May 19, 20",0.395455
155,2020-05-20,79.17,79.81,79.88,79.05,111504860,316.68,319.23,319.52,316.2,27876215,1.52,1.9448,"May 20, 20",0.42259399999999997
156,2020-05-21,79.67,79.21,80.22,78.97,102688844,318.66,316.85,320.89,315.87,25672211,-0.59,-0.7455,"May 21, 20",0.41198799999999997
157,2020-05-22,78.94,79.72,79.81,78.84,81803016,315.77,318.89,319.23,315.35,20450754,0.51,0.6438,"May 22, 20",0.421078
158,2020-05-26,80.88,79.18,81.06,79.13,125521816,323.5,316.73,324.24,316.5,31380454,-0.54,-0.6773,"May 26, 20",0.41145299999999996
159,2020-05-27,79.04,79.53,79.68,78.27,112945096,316.14,318.11,318.71,313.09,28236274,0.35000000000000003,0.43570000000000003,"May 27, 20",0.417602
160,2020-05-28,79.19,79.56,80.86,78.91,133796412,316.77,318.25,323.44,315.63,33449103,0.04,0.044,"May 28, 20",0.418226
161,2020-05-29,79.81,79.49,80.29,79.12,153598128,319.25,317.94,321.15,316.47,38399532,-0.08,-0.0974,"May 29, 20",0.41684499999999997
162,2020-06-01,79.44,80.46,80.59,79.3,81018612,317.75,321.85,322.35,317.21,20254653,0.98,1.2298,"Jun 1, 20",0.43426899999999996
163,2020-06-02,80.19,80.84,80.86,79.73,87642816,320.75,323.34,323.44,318.93,21910704,0.37,0.46290000000000003,"Jun 2, 20",0.440909
164,2020-06-03,81.17,81.28,81.55,80.58,104491216,324.66,325.12,326.2,322.3,26122804,0.45,0.5505,"Jun 3, 20",0.448841
165,2020-06-04,81.1,80.58,81.41,80.2,87560364,324.39,322.32,325.62,320.78,21890091,-0.7000000000000001,-0.8612000000000001,"Jun 4, 20",0.436364
166,2020-06-05,80.84,82.88,82.94,80.81,137250200,323.35,331.5,331.75,323.23,34312550,2.3,2.8481,"Jun 5, 20",0.477273
167,2020-06-08,82.56,83.37,83.4,81.83,95654536,330.25,333.46,333.6,327.32,23913634,0.49,0.5913,"Jun 8, 20",0.48600699999999997
168,2020-06-09,83.04,86.0,86.4,83.0,147712364,332.14,343.99,345.61,332.01,36928091,2.63,3.1578,"Jun 9, 20",0.532932
169,2020-06-10,86.98,88.21,88.69,86.52,166651752,347.9,352.84,354.77,346.09,41662938,2.21,2.5727,"Jun 10, 20",0.572371
170,2020-06-11,87.33,83.98,87.77,83.87,201662452,349.31,335.9,351.06,335.48,50415613,-4.23,-4.801,"Jun 11, 20",0.49688099999999996
171,2020-06-12,86.18,84.7,86.95,83.56,200146052,344.72,338.8,347.8,334.22,50036513,0.73,0.8634000000000001,"Jun 12, 20",0.5098039999999999
172,2020-06-15,83.31,85.75,86.42,83.15,138808920,333.25,342.99,345.68,332.58,34702230,1.05,1.2367,"Jun 15, 20",0.528476
173,2020-06-16,87.87,88.02,88.3,86.18,165428728,351.46,352.08,353.2,344.72,41357182,2.27,2.6502,"Jun 16, 20",0.5689839999999999
174,2020-06-17,88.79,87.9,88.85,87.77,114406504,355.15,351.59,355.4,351.09,28601626,-0.12,-0.13920000000000002,"Jun 17, 20",0.5668000000000001
175,2020-06-18,87.85,87.93,88.36,87.31,96820384,351.41,351.73,353.45,349.22,24205096,0.04,0.0398,"Jun 18, 20",0.5674239999999999
176,2020-06-19,88.66,87.43,89.14,86.29,264475808,354.64,349.72,356.56,345.15,66118952,-0.5,-0.5715,"Jun 19, 20",0.5584669999999999
177,2020-06-22,87.84,89.72,89.87,87.79,135445264,351.34,358.87,359.46,351.15,33861316,2.29,2.6164,"Jun 22, 20",0.5992419999999999
178,2020-06-23,91.0,91.63,93.1,90.57,212155476,364.0,366.53,372.38,362.27,53038869,1.92,2.1345,"Jun 23, 20",0.633378
